Case;Event
1;START
1;Preliminary understanding of the app
1;String / name analysis
1;Identify code containing sensitive assets
1;String / name analysis
1;Identify code containing sensitive assets
1;String / name analysis
1;Tamper with the code statically
1;Analyze attack results
1;Preliminary understanding of the app
1;Black-box analysis
1;Identify code containing sensitive assets
1;String / name analysis
1;Identify code containing sensitive assets
1;String / name analysis
1;Tamper with the code statically
1;Analyze attack results
1;END
2;START
2;Debugging
2;Understand the app
2;Analysis / reverse engineering
2;Tamper with the code statically
2;Identify code containing sensitive assets
2;String / name analysis
2;Tamper with the code statically
2;Analyze attack results
2;Identify code containing sensitive assets
2;Tamper with the code statically
2;Analyze attack results
2;Make hypothesis on reasons for attack failure
2;Build the attack strategy
2;Tamper with the code statically
2;Identify API calls
2;Tamper with the code statically
2;Analyze attack results
2;Confirm hypothesis
2;Analyze attack results
2;Analyze attack results
2;END
3;START
3;Tamper with the code statically
3;Identify code containing sensitive assets
3;Identify code containing sensitive assets
3;String / name analysis
3;Tamper with the code statically
3;END
4;START
4;Debugging
4;Identify code containing sensitive assets
4;String / name analysis
4;Tamper with the code statically
4;Debugging
4;Tamper with the code statically
4;Analyze attack results
4;END
5;START
5;Preliminary understanding of the app
5;Identify code containing sensitive assets
5;Understand the app
5;Identify code containing sensitive assets
5;String / name analysis
5;Tamper with the code statically
5;END
6;START
6;Understand the app
6;Tamper with the code statically
6;Tamper with the code statically
6;Tamper with data
6;Tamper with the code statically
6;Analyze attack results
6;END
7;START
7;Preliminary understanding of the app
7;Understand code logic
7;Tamper with the code statically
7;Tamper with data
7;Analyze attack results
7;END
8;START
8;Understand code logic
8;Understand code logic
8;Understand code logic
8;Understand code logic
8;Understand code logic
8;Tamper with the code statically
8;Analyze attack results
8;Make hypothesis on reasons for attack failure
8;END
9;START
9;Preliminary understanding of the app
9;Identify data format
9;Tamper with the code statically
9;END
10;START
10;Understand code logic
10;String / name analysis
10;Understand code logic
10;Identify points of attack
10;Tamper with the code statically
10;Analyze attack results
