Case;Event
1;START
1;Preliminary understanding of the app
1;String / name analysis
1;Identify code containing sensitive assets
1;String / name analysis
1;Identify code containing sensitive assets
1;String / name analysis
1;Tamper with the code statically
1;Analyze attack results
1;Preliminary understanding of the app
1;Black-box analysis
1;Identify code containing sensitive assets
1;String / name analysis
1;Identify code containing sensitive assets
1;String / name analysis
1;Tamper with the code statically
1;Analyze attack results
1;END
2;START
2;Debugging
2;Understand the app
2;Analysis / reverse engineering
2;Tamper with the code statically
2;Identify code containing sensitive assets
2;String / name analysis
2;Tamper with the code statically
2;Analyze attack results
2;Identify code containing sensitive assets
2;Tamper with the code statically
2;Analyze attack results
2;Make hypothesis on reasons for attack failure
2;Build the attack strategy
2;Tamper with the code statically
2;Identify API calls
2;Tamper with the code statically
2;Analyze attack results
2;Confirm hypothesis
2;Analyze attack results
2;Analyze attack results
2;END
3;START
3;Debugging
3;Identify code containing sensitive assets
3;String / name analysis
3;Tamper with the code statically
3;Debugging
3;Tamper with the code statically
3;Analyze attack results
3;END
4;START
4;Understand the app
4;Tamper with the code statically
4;Tamper with the code statically
4;Tamper with data
4;Tamper with the code statically
4;Analyze attack results
4;END
5;START
5;Preliminary understanding of the app
5;Understand code logic
5;Tamper with the code statically
5;Tamper with data
5;Analyze attack results
5;END
6;START
6;Preliminary understanding of the app
6;Understand code logic
6;Debugging
6;Analyze attack results
6;Understand code logic
6;Tamper with the code statically
6;Tamper with data
6;Debugging
6;END
7;START
7;Preliminary understanding of the app
7;Understand code logic
7;Debugging
7;Identify code containing sensitive assets
7;Make hypothesis
7;Tamper with the code statically
7;Analyze attack results
7;Identify code containing sensitive assets
7;Make hypothesis
7;Tamper with data
7;Analyze attack results
7;Debugging
7;END
8;START
8;Preliminary understanding of the app
8;Identify points of attack
8;Tamper with data
8;Analyze attack results
8;Understand the app
8;Identify points of attack
8;Tamper with the code statically
8;Analyze attack results
8;Make hypothesis on reasons for attack failure
8;Tamper with the code statically
8;Analyze attack results
8;END
9;START
