Case;Event
1;START
1;Preliminary understanding of the app
1;Identify code containing sensitive assets
1;Understand the app
1;Identify code containing sensitive assets
1;String / name analysis
1;Tamper with the code statically
1;END
2;START
2;Understand code logic
2;String / name analysis
2;Understand code logic
2;Identify points of attack
2;Tamper with the code statically
2;Analyze attack results
2;Analyze attack results
2;END
3;START
3;Identify code containing sensitive assets
3;Identify API calls
3;String / name analysis
3;Understand code logic
3;Tamper with the code statically
3;Identify API calls
3;Analyze attack results
3;Tamper with the code statically
3;END
4;START
4;Preliminary understanding of the app
4;Identify assets by naming scheme
4;String / name analysis
4;Identify input / data format
4;Understand code logic
4;Identify code containing sensitive assets
4;Understand code logic
4;Tamper with code and execution
4;Tamper with the code statically
4;Analyze attack results
4;Analyze attack results
4;END
5;START
5;Preliminary understanding of the app
5;String / name analysis
5;Identify code containing sensitive assets
5;String / name analysis
5;Identify API calls
5;Tamper with the code statically
5;Analyze attack results
5;Tamper with the code statically
5;END
6;START
6;Preliminary understanding of the app
6;Tamper with the code statically
6;Analyze attack results
6;Understand code logic
6;String / name analysis
6;Understand code logic
6;Tamper with the code statically
6;Analyze attack results
6;Make hypothesis on reasons for attack failure
6;Analyze attack results
6;Tamper with the code statically
6;Tamper with the code statically
6;Analyze attack results
6;END
7;START
7;Identify code containing sensitive assets
7;Tamper with the code statically
7;Tamper with the code statically
7;Identify code containing sensitive assets
7;String / name analysis
7;Tamper with the code statically
7;Analyze attack results
7;Understand the app
7;String / name analysis
7;Identify code containing sensitive assets
7;Identify code containing sensitive assets
7;String / name analysis
7;Tamper with the code statically
7;Analyze attack results
7;Tamper with the code statically
7;Analyze attack results
7;END
8;START
8;Preliminary understanding of the app
8;Understand code logic
8;Understand code logic
8;String / name analysis
8;Tamper with data
8;Understand code logic
8;Tamper with the code statically
8;Analyze attack results
8;Understand code logic
8;Tamper with the code statically
8;Analyze attack results
8;END
9;START
9;Preliminary understanding of the app
9;Understand the app
9;Identify code containing sensitive assets
9;String / name analysis
