Case;Event
1;START
1;Understand code logic
1;Understand code logic
1;Understand code logic
1;Understand code logic
1;Understand code logic
1;Tamper with the code statically
1;Analyze attack results
1;Make hypothesis on reasons for attack failure
1;END
2;START
2;Preliminary understanding of the app
2;Identify data format
2;Tamper with the code statically
2;END
3;START
3;Understand code logic
3;String / name analysis
3;Understand code logic
3;Identify points of attack
3;Tamper with the code statically
3;Analyze attack results
3;Analyze attack results
3;END
4;START
4;Identify code containing sensitive assets
4;Identify API calls
4;String / name analysis
4;Understand code logic
4;Tamper with the code statically
4;Identify API calls
4;Analyze attack results
4;Tamper with the code statically
4;END
5;START
5;Preliminary understanding of the app
5;Understand code logic
5;Debugging
5;Analyze attack results
5;Understand code logic
5;Tamper with the code statically
5;Tamper with data
5;Debugging
5;END
6;START
6;Preliminary understanding of the app
6;Understand code logic
6;Debugging
6;Identify code containing sensitive assets
6;Make hypothesis
6;Tamper with the code statically
6;Analyze attack results
6;Identify code containing sensitive assets
6;Make hypothesis
6;Tamper with data
6;Analyze attack results
6;Debugging
6;END
7;START
7;Tamper with the code statically
7;Analyze attack results
7;Make hypothesis on reasons for attack failure
7;Make hypothesis on reasons for attack failure
7;Tamper with data
7;Tamper with data
7;Tamper with the code statically
7;Analyze attack results
7;Tamper with the code statically
7;Analyze attack results
7;Tamper with data
7;Analyze attack results
7;Tamper with the code statically
7;END
8;START
8;Tamper with the code statically
8;Analyze attack results
8;Make hypothesis
8;Tamper with the code statically
8;Analyze attack results
8;Confirm hypothesis
8;Tamper with the code statically
8;Analyze attack results
8;Tamper with the code statically
8;Analyze attack results
8;Make hypothesis
8;Tamper with the code statically
8;Analyze attack results
8;Confirm hypothesis
8;Tamper with the code statically
8;Analyze attack results
8;Tamper with the code statically
8;Debugging
8;END
9;START
9;Analyze attack results
9;Understand code logic
9;Tamper with the code statically
9;Identify code containing sensitive assets
9;Analyze attack results
9;Tamper with the code statically
9;Identify code containing sensitive assets
9;Identify code containing sensitive assets
9;Tamper with the code statically
9;Identify code containing sensitive assets
9;Analyze attack results
9;END
10;START
10;Understand the app
10;Tamper with data
10;Tamper with the code statically
10;Analyze attack results
10;END
11;START
11;Identify code containing sensitive assets
11;Understand code logic
11;Tamper with the code statically
11;Tamper with the code statically
11;Understand code logic
11;Tamper with the code statically
11;Tamper with the code statically
11;Analyze attack results
11;END
12;START
12;Understand code logic
12;Static analysis
12;Understand code logic
12;Debugging
12;Analyze attack results
12;END
13;START
13;Preliminary understanding of the app
13;Identify input / data format
13;Understand code logic
13;Understand code logic
13;Tamper with the code statically
13;END
14;START
14;Preliminary understanding of the app
14;Understand code logic
14;Identify code containing sensitive assets
14;Tamper with the code statically
14;Analyze attack results
14;Understand code logic
14;Debugging
14;Identify code containing sensitive assets
14;END
15;START
15;Preliminary understanding of the app
15;Understand code logic
15;Understand code logic
15;Understand code logic
15;Tamper with the code statically
15;Analyze attack results
15;Tamper with the code statically
15;Tamper with the code statically
15;Analyze attack results
15;END
16;START
16;Prepare the environment
16;Preliminary understanding of the app
16;Identify code containing sensitive assets
16;Identify protection
16;Understand code logic
16;Debugging
16;Tamper with the code statically
16;Black-box analysis
16;Evaluate and select alternative steps / revise strategy
16;Tamper with the code statically
16;Analyze attack results
16;Understand code logic
16;Debugging
16;Identify code containing sensitive assets
16;Tamper with the code statically
16;Make hypothesis on reasons for attack failure
16;Understand code logic
16;Debugging
16;Tamper with the code statically
16;Analyze attack results
16;END
17;START
17;Understand the app
17;Preliminary understanding of the app
17;Identify code containing sensitive assets
17;Static analysis
17;Identify input / data format
17;Tamper with data
17;Understand code logic
17;Analyze attack results
17;Evaluate and select alternative steps / revise strategy
17;Tamper with the code statically
17;Dynamic analysis
17;Tamper with data
17;Analyze attack results
17;Make hypothesis on reasons for attack failure
17;Tamper with the code statically
17;Analyze attack results
17;END
18;START
18;Preliminary understanding of the app
18;Tamper with the code statically
18;Understand code logic
18;Debugging
18;Identify code containing sensitive assets
18;Tamper with the code statically
18;Analyze attack results
18;Tamper with the code statically
18;Make hypothesis on reasons for attack failure
18;Understand code logic
18;Identify code containing sensitive assets
18;Tamper with the code statically
18;Analyze attack results
18;Tamper with the code statically
18;Analyze attack results
18;END
19;START
19;Preliminary understanding of the app
19;Analysis / reverse engineering
19;Tamper with the code statically
19;Analyze attack results
19;Dynamic analysis
19;Tamper with the code statically
19;Tamper with the code statically
19;Analyze attack results
19;Tamper with the code statically
19;Make hypothesis on reasons for attack failure
19;Identify code containing sensitive assets
19;Tamper with the code statically
19;Analyze attack results
19;Tamper with the code statically
19;Analyze attack results
19;END
20;START
20;END
21;START
21;Evaluate attack results
21;Tamper with the code statically
21;END
22;START
22;Preliminary understanding of the app
22;Tamper with the code statically
22;Analyze attack results
22;Tamper with the code statically
22;Analyze attack results
22;Build the attack strategy
22;Evaluate and select alternative steps / revise strategy
22;Identify output generation
22;Identify code containing sensitive assets
22;Understand code logic
22;Tamper with the code statically
22;Analyze attack results
22;END
23;START
23;Preliminary understanding of the app
